method,instance,n,m,l,k,nro,value,cost
klsfp.json,400_15960_200_6_2,400,15960,200,6,2,7,1571360
klsfp.json,300_8970_375_9_3,300,8970,375,9,3,30,5835960
klsfp.json,400_15960_200_6_1,400,15960,200,6,1,10,1795840
klsfp.json,400_15960_200_6_5,400,15960,200,6,5,6,1403000
klsfp.json,300_8970_375_9_4,300,8970,375,9,4,27,5835960
klsfp.json,400_15960_200_6_3,400,15960,200,6,3,7,1851960
klsfp.json,400_15960_200_6_4,400,15960,200,6,4,7,1964200
klsfp.json,300_8970_375_9_9,300,8970,375,9,9,29,5237400
klsfp.json,400_15960_200_6_8,400,15960,200,6,8,7,1515240
klsfp.json,400_15960_200_6_7,400,15960,200,6,7,9,1515240
klsfp.json,400_15960_200_6_6,400,15960,200,6,6,7,2076440
klsfp.json,400_15960_200_6_10,400,15960,200,6,10,10,1403000
klsfp.json,300_8970_375_9_10,300,8970,375,9,10,27,5835960
klsfp.json,400_15960_200_6_9,400,15960,200,6,9,7,2188680
klsfp.json,400_15960_400_6_5,400,15960,400,6,5,75,2915120
klsfp.json,400_15960_400_12_2,400,15960,400,12,2,3,4963200
klsfp.json,400_15960_400_12_7,400,15960,400,12,7,2,4963200
klsfp.json,400_15960_400_12_1,400,15960,400,12,1,3,6204000
klsfp.json,400_15960_400_12_4,400,15960,400,12,4,2,5790400
klsfp.json,400_15960_400_12_3,400,15960,400,12,3,1,6204000
klsfp.json,400_15960_400_12_8,400,15960,400,12,8,1,5790400
klsfp.json,400_15960_400_12_6,400,15960,400,12,6,2,5997200
klsfp.json,400_15960_400_12_9,400,15960,400,12,9,2,8065200
