method,instance,n,m,l,k,nro,value,cost
pilot.json,1000_99900_250_3_3,1000,99900,250,3,3,52,437752
pilot.json,1000_99900_250_3_4,1000,99900,250,3,4,57,437752
pilot.json,1000_99900_250_3_5,1000,99900,250,3,5,58,437752
pilot.json,1000_99900_250_3_6,1000,99900,250,3,6,60,437752
pilot.json,1000_99900_250_3_7,1000,99900,250,3,7,60,437752
pilot.json,1000_99900_250_3_8,1000,99900,250,3,8,51,437752
pilot.json,500_24950_625_7_7,500,24950,625,7,7,119,11258911
pilot.json,500_24950_625_7_6,500,24950,625,7,6,110,11258911
pilot.json,500_24950_625_7_1,500,24950,625,7,1,112,11258911
pilot.json,1000_99900_250_3_9,1000,99900,250,3,9,51,437752
pilot.json,1000_99900_250_3_10,1000,99900,250,3,10,55,437752
pilot.json,1000_99900_500_7_1,1000,99900,500,7,1,15,7194661
pilot.json,1000_99900_500_7_2,1000,99900,500,7,2,15,7194661
pilot.json,1000_99900_500_7_4,1000,99900,500,7,4,12,7194661
pilot.json,1000_99900_500_7_3,1000,99900,500,7,3,13,7194661
pilot.json,1000_99900_500_7_5,1000,99900,500,7,5,15,7194661
pilot.json,1000_99900_500_7_6,1000,99900,500,7,6,16,7194661
pilot.json,1000_99900_500_7_7,1000,99900,500,7,7,14,7194661
pilot.json,1000_99900_500_7_8,1000,99900,500,7,8,13,7194661
pilot.json,1000_99900_500_7_9,1000,99900,500,7,9,14,7194661
pilot.json,1000_99900_500_7_10,1000,99900,500,7,10,16,7194661
pilot.json,500_24950_625_15_2,500,24950,625,15,2,1,46371165
pilot.json,500_24950_625_15_4,500,24950,625,15,4,1,46371165
pilot.json,500_24950_625_15_3,500,24950,625,15,3,1,46371165
pilot.json,500_24950_625_15_5,500,24950,625,15,5,1,46371165
pilot.json,500_24950_625_15_8,500,24950,625,15,8,1,46371165
pilot.json,500_24950_625_15_9,500,24950,625,15,9,1,46371165
pilot.json,500_24950_625_15_10,500,24950,625,15,10,1,46371165
pilot.json,1000_99900_1000_7_4,1000,99900,1000,7,4,185,28889161
pilot.json,1000_99900_1000_7_5,1000,99900,1000,7,5,181,28889161
pilot.json,1000_99900_1000_7_6,1000,99900,1000,7,6,184,28889161
pilot.json,1000_99900_1000_7_10,1000,99900,1000,7,10,180,28889161
pilot.json,1000_99900_1000_15_1,1000,99900,1000,15,1,1,119565915
pilot.json,1000_99900_1000_15_2,1000,99900,1000,15,2,1,119565915
pilot.json,1000_99900_1000_15_3,1000,99900,1000,15,3,1,119565915
pilot.json,1000_99900_1000_15_8,1000,99900,1000,15,8,1,119565915
pilot.json,1000_99900_1000_15_7,1000,99900,1000,15,7,1,119565915
pilot.json,1000_99900_1000_15_9,1000,99900,1000,15,9,1,119565915
pilot.json,1000_99900_1250_15_2,1000,99900,1250,15,2,10,187268665
pilot.json,1000_99900_1250_15_1,1000,99900,1250,15,1,11,187268665
pilot.json,1000_99900_1250_15_3,1000,99900,1250,15,3,10,187268665
pilot.json,1000_99900_1250_15_4,1000,99900,1250,15,4,12,187268665
pilot.json,1000_99900_1250_15_5,1000,99900,1250,15,5,9,187268665
pilot.json,1000_99900_1250_15_6,1000,99900,1250,15,6,9,187268665
pilot.json,1000_99900_1250_15_9,1000,99900,1250,15,9,12,187268665
pilot.json,1000_99900_1250_15_7,1000,99900,1250,15,7,12,187268665
pilot.json,1000_99900_1250_15_8,1000,99900,1250,15,8,10,187268665
pilot.json,1000_99900_1250_15_10,1000,99900,1250,15,10,12,187268665
