"Type","name","Nodes","Edges","Labels","Max","Instance","a","b","c","d","Value","t","Cost"
"CBFS","400_15960_100_3_9",400,15960,100,3,9,119,119,0.09159238,0,16,0.157159173,49602
"CBFS","400_15960_100_3_10",400,15960,100,3,10,119,119,0.136939553,0,14,0.213484762,50499
"CBFS","300_8970_375_9_2",300,8970,375,9,2,404,404,2.531494156,55,22,11.702566234,2383977
"CBFS","300_8970_375_9_1",300,8970,375,9,1,404,404,5.752307872,162,21,11.848015339,2386682
"CBFS","400_15960_200_6_2",400,15960,200,6,2,251,251,0.413818894,9,7,2.313158932,477639
"CBFS","400_15960_200_6_1",400,15960,200,6,1,251,251,0.350626486,0,9,2.397359912,481649
"CBFS","400_15960_200_6_3",400,15960,200,6,3,251,251,0.306885698,0,7,2.364388745,487422
"CBFS","400_15960_200_6_4",400,15960,200,6,4,251,251,0.405588568,4,6,2.372002335,485256
"CBFS","400_15960_200_6_6",400,15960,200,6,6,251,251,0.988653366,73,5,2.272358999,490309
"CBFS","400_15960_200_6_5",400,15960,200,6,5,251,251,1.995610143,181,7,2.499034164,478838
"CBFS","400_15960_200_6_7",400,15960,200,6,7,251,251,1.6122549,163,8,2.226081029,484872
"CBFS","400_15960_200_6_8",400,15960,200,6,8,251,251,1.268486166,104,7,2.279351195,478682
"CBFS","400_15960_200_6_9",400,15960,200,6,9,251,251,1.901217003,233,7,1.982760243,467966
"CBFS","400_15960_200_6_10",400,15960,200,6,10,251,251,1.43439137,101,9,2.418504039,478764
"CBFS","400_15960_400_12_1",400,15960,400,12,1,517,517,1.538625718,0,1,1.539031885,2453682
"CBFS","400_15960_400_12_3",400,15960,400,12,3,517,517,1.510131728,0,1,1.510963249,2453682
"CBFS","300_8970_375_9_3",300,8970,375,9,3,404,404,6.836156524,222,26,11.522476249,2395678
"CBFS","300_8970_375_9_4",300,8970,375,9,4,404,404,9.529878836,324,25,11.630724559,2394771
"CBFS","400_15960_400_12_6",400,15960,400,12,6,517,517,1.405742556,0,1,1.406086336,2453682
"CBFS","300_8970_375_9_6",300,8970,375,9,6,404,404,0.596401127,0,26,11.700600441,2371603
"CBFS","400_15960_400_12_2",400,15960,400,12,2,517,517,3.687633931,45,1,3.694996357,2612413
"CBFS","300_8970_375_9_9",300,8970,375,9,9,404,404,2.804057084,65,26,11.756053451,2390024
"CBFS","300_8970_375_9_5",300,8970,375,9,5,404,404,7.986273623,243,25,11.931855157,2396215
"CBFS","300_8970_375_9_10",300,8970,375,9,10,404,404,8.732924693,276,24,11.866212289,2401113
"CBFS","300_8970_375_9_8",300,8970,375,9,8,404,404,0.566442651,0,23,11.881544159,2400514
"CBFS","300_8970_375_9_7",300,8970,375,9,7,404,404,4.808400592,125,27,12.087767645,2399656
"CBFS","400_15960_400_6_5",400,15960,400,6,5,293,293,0.48407843,0,74,4.672291038,1209902
"CBFS","400_15960_400_12_7",400,15960,400,12,7,517,517,1.41018625,0,1,1.410332085,2453682
