method,name,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost
pilot.json,1000_99900_1000_7_6,1000,99900,1000,7,6,184,976909510
pilot.json,1000_99900_1000_7_10,1000,99900,1000,7,10,180,974951266
pilot.json,1000_99900_1000_15_1,1000,99900,1000,15,1,1,4030297382
pilot.json,1000_99900_1000_15_3,1000,99900,1000,15,3,1,4021478832
pilot.json,1000_99900_1000_15_2,1000,99900,1000,15,2,1,4010389710
pilot.json,1000_99900_1000_15_8,1000,99900,1000,15,8,1,4025707376
pilot.json,1000_99900_1000_15_7,1000,99900,1000,15,7,1,4025288980
pilot.json,1000_99900_1000_15_9,1000,99900,1000,15,9,1,4022966686
pilot.json,1000_99900_1250_15_2,1000,99900,1250,15,2,10,6576081046
pilot.json,1000_99900_1250_15_1,1000,99900,1250,15,1,11,6575923468
pilot.json,1000_99900_1250_15_3,1000,99900,1250,15,3,10,6567174196
pilot.json,1000_99900_1250_15_4,1000,99900,1250,15,4,12,6568092116
pilot.json,1000_99900_1250_15_6,1000,99900,1250,15,6,9,6567936884
pilot.json,1000_99900_1250_15_5,1000,99900,1250,15,5,9,6569232152
pilot.json,1000_99900_1250_15_7,1000,99900,1250,15,7,12,6571973408
pilot.json,1000_99900_1250_15_8,1000,99900,1250,15,8,10,6570957812
pilot.json,1000_99900_1250_15_10,1000,99900,1250,15,10,12,6576716220
pilot.json,1000_99900_1250_15_9,1000,99900,1250,15,9,12,6574156968
