"","name","Value","Cost","method","Nodes","Edges","Labels","Max","Instance","Base.Value","Base.Cost","Diff.Value","Diff.Cost","Diff.Has"
"195","400_15960_500_12_5",4,347851066,"pilot.json",400,15960,500,12,5,4,578437736,0,-39.8636976201705,FALSE
"196","400_15960_500_12_6",9,349260682,"pilot.json",400,15960,500,12,6,10,581254246,-10,-39.9125796665578,FALSE
"197","400_15960_500_12_7",8,349292972,"pilot.json",400,15960,500,12,7,8,580942384,0,-39.8747652744855,FALSE
"198","400_15960_500_12_8",8,348932302,"pilot.json",400,15960,500,12,8,8,580414898,0,-39.8822629807824,FALSE
"199","400_15960_500_12_9",9,349667896,"pilot.json",400,15960,500,12,9,9,581552802,0,-39.8734053386953,FALSE
"200","500_24950_125_3_1",24,1435139,"pilot.json",500,24950,125,3,1,24,2389069,0,-39.9289430317835,FALSE
"201","500_24950_125_3_10",22,1392203,"pilot.json",500,24950,125,3,10,22,2323593,0,-40.0840422569701,FALSE
"202","500_24950_125_3_2",23,1418593,"pilot.json",500,24950,125,3,2,23,2359407,0,-39.8750194434449,FALSE
"203","500_24950_125_3_3",17,1417083,"pilot.json",500,24950,125,3,3,17,2362515,0,-40.0180316315452,FALSE
"204","500_24950_125_3_4",20,1415493,"pilot.json",500,24950,125,3,4,20,2354993,0,-39.8939614682507,FALSE
"205","500_24950_125_3_5",24,1420031,"pilot.json",500,24950,125,3,5,24,2364469,0,-39.9429216454096,FALSE
"206","500_24950_125_3_6",23,1420917,"pilot.json",500,24950,125,3,6,23,2369703,0,-40.0381820000228,FALSE
"207","500_24950_125_3_7",24,1428109,"pilot.json",500,24950,125,3,7,24,2379209,0,-39.9754708392579,FALSE
"208","500_24950_125_3_8",24,1427523,"pilot.json",500,24950,125,3,8,24,2379121,0,-39.9978815705464,FALSE
"209","500_24950_125_3_9",20,1424755,"pilot.json",500,24950,125,3,9,20,2371583,0,-39.9238820652703,FALSE
"210","500_24950_250_7_1",2,28356927,"pilot.json",500,24950,250,7,1,2,47302110,0,-40.0514543642979,FALSE
"211","500_24950_250_7_10",2,28294081,"pilot.json",500,24950,250,7,10,2,47192190,0,-40.044992614244,FALSE
"212","500_24950_250_7_2",3,28156871,"pilot.json",500,24950,250,7,2,3,47001002,0,-40.0930409951686,FALSE
"213","500_24950_250_7_3",3,28140931,"pilot.json",500,24950,250,7,3,3,47015456,0,-40.1453619847907,FALSE
"214","500_24950_250_7_4",1,28274279,"pilot.json",500,24950,250,7,4,1,47173084,0,-40.0626870187245,FALSE
"215","500_24950_250_7_5",3,28245771,"pilot.json",500,24950,250,7,5,3,47120762,0,-40.0566336342354,FALSE
"216","500_24950_250_7_6",3,28200947,"pilot.json",500,24950,250,7,6,3,47039258,0,-40.0480615574336,FALSE
"217","500_24950_250_7_7",3,28022929,"pilot.json",500,24950,250,7,7,3,46739842,0,-40.0448786283873,FALSE
"218","500_24950_250_7_8",1,28072613,"pilot.json",500,24950,250,7,8,1,46802100,0,-40.0184756666902,FALSE
"219","500_24950_250_7_9",3,28313773,"pilot.json",500,24950,250,7,9,3,47202998,0,-40.0170027335976,FALSE
"220","500_24950_500_7_1",70,129469934,"pilot.json",500,24950,500,7,1,70,215177826,0,-39.8311915280713,FALSE
"221","500_24950_500_7_10",70,129201060,"pilot.json",500,24950,500,7,10,70,214708680,0,-39.8249479247881,FALSE
"222","500_24950_500_7_2",74,130234684,"pilot.json",500,24950,500,7,2,74,216401796,0,-39.8181131546616,FALSE
"223","500_24950_500_7_3",66,129349062,"pilot.json",500,24950,500,7,3,66,215104078,0,-39.8667551063351,FALSE
"224","500_24950_500_7_4",74,130482454,"pilot.json",500,24950,500,7,4,74,217356180,0,-39.9683717297571,FALSE
"225","500_24950_500_7_5",69,130018140,"pilot.json",500,24950,500,7,5,69,216033006,0,-39.8156131753312,FALSE
"226","500_24950_500_7_6",74,129726438,"pilot.json",500,24950,500,7,6,74,215609582,0,-39.8327120730655,FALSE
"227","500_24950_500_7_7",75,129915426,"pilot.json",500,24950,500,7,7,75,216047610,0,-39.8672237105516,FALSE
"228","500_24950_500_7_8",74,130158956,"pilot.json",500,24950,500,7,8,74,216324390,0,-39.8315853334892,FALSE
