,name,Value,Cost,method,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost,Diff.Value,Diff.Cost,Diff.Has,Type,NodesC,EdgesC,LabelsC,MaxC,InstanceC,a,b,c,d,ValueC,t,CostC,Diff.ValueC,Diff.CostC
108,200_3980_250_6_6,48,21029871,pilot.json,200,3980,250,6,6,48,34996466,0,-39.9085867698756,FALSE,CBFS,200,3980,250,6,6,264,264,0.09798263,0,48,1.081751861,670877,0,3034.68355600207
109,200_3980_250_6_9,49,21111517,pilot.json,200,3980,250,6,9,49,35114846,0,-39.8786570215914,FALSE,CBFS,200,3980,250,6,9,264,264,0.09266711,0,49,1.154901687,666537,0,3067.34359832988
110,200_3980_50_3_1,7,175098,pilot.json,200,3980,50,3,1,7,293056,0,-40.2510100458615,FALSE,CBFS,200,3980,50,3,1,98,98,0.013077872,0,7,0.019839383,19322,0,806.210537211469
111,200_3980_50_3_10,7,176832,pilot.json,200,3980,50,3,10,7,295144,0,-40.0861952131841,FALSE,CBFS,200,3980,50,3,10,98,98,0.012763488,0,7,0.019248477,19118,0,824.950308609687
112,200_3980_50_3_2,3,177552,pilot.json,200,3980,50,3,2,3,297072,0,-40.2326708676684,FALSE,CBFS,200,3980,50,3,2,98,98,0.012284283,0,3,0.018761457,19382,0,816.066453410381
113,200_3980_50_3_3,7,176750,pilot.json,200,3980,50,3,3,7,295574,0,-40.2011002320908,FALSE,CBFS,200,3980,50,3,3,98,98,0.014407754,0,7,0.021699737,19364,0,812.776285891345
114,200_3980_50_3_4,6,175268,pilot.json,200,3980,50,3,4,6,292356,0,-40.0498022958311,FALSE,CBFS,200,3980,50,3,4,98,98,0.014878933,0,6,0.022162741,19492,0,799.179150420685
115,200_3980_50_3_5,7,179668,pilot.json,200,3980,50,3,5,7,300182,0,-40.1469775003165,FALSE,CBFS,200,3980,50,3,5,98,98,0.012990447,0,7,0.019814015,19295,0,831.163513863695
116,200_3980_50_3_6,6,179366,pilot.json,200,3980,50,3,6,6,298970,0,-40.0053517075292,FALSE,CBFS,200,3980,50,3,6,98,98,0.01242528,0,6,0.018999768,19209,0,833.760216565152
117,200_3980_50_3_7,8,175200,pilot.json,200,3980,50,3,7,8,292810,0,-40.165977937912,FALSE,CBFS,200,3980,50,3,7,98,98,0.013829853,4,8,0.019480295,19363,0,804.81846821257
118,200_3980_50_3_8,6,176328,pilot.json,200,3980,50,3,8,6,294514,0,-40.1291619413678,FALSE,CBFS,200,3980,50,3,8,98,98,0.018436492,59,6,0.019980909,19195,0,818.614222453764
119,200_3980_50_3_9,6,181372,pilot.json,200,3980,50,3,9,6,302038,0,-39.950602242102,FALSE,CBFS,200,3980,50,3,9,98,98,0.013998901,0,6,0.021299951,19386,0,835.582379036418
